table_name,column_name,data_type
actors,actor_id,INTEGER
actors,actor_name,TEXT
directors,director_id,INTEGER
directors,director_name,TEXT
genres,genre_id,INTEGER
genres,genre_name,TEXT
movie_cast,movie_id,INTEGER
movie_cast,actor_id,INTEGER
movie_cast,character_name,TEXT
movie_cast,cast_order,INTEGER
movie_directors,movie_id,INTEGER
movie_directors,director_id,INTEGER
movie_features,movie_id,INTEGER
movie_features,title,TEXT
movie_features,budget,INTEGER
movie_features,revenue,INTEGER
movie_features,runtime,REAL
movie_features,popularity,REAL
movie_features,vote_average,REAL
movie_features,vote_count,INTEGER
movie_features,release_year,REAL
movie_features,release_month,REAL
movie_features,num_ratings,INTEGER
movie_features,avg_rating,REAL
movie_features,Action,INTEGER
movie_features,Adventure,INTEGER
movie_features,Animation,INTEGER
movie_features,Comedy,INTEGER
movie_features,Crime,INTEGER
movie_features,Documentary,INTEGER
movie_features,Drama,INTEGER
movie_features,Family,INTEGER
movie_features,Fantasy,INTEGER
movie_features,Foreign,INTEGER
movie_features,History,INTEGER
movie_features,Horror,INTEGER
movie_features,Music,INTEGER
movie_features,Mystery,INTEGER
movie_features,Romance,INTEGER
movie_features,Science Fiction,INTEGER
movie_features,TV Movie,INTEGER
movie_features,Thriller,INTEGER
movie_features,War,INTEGER
movie_features,Western,INTEGER
movie_features,log_star_power,REAL
movie_genres,movie_id,INTEGER
movie_genres,genre_id,INTEGER
movies,movie_id,INTEGER
movies,title,TEXT
movies,original_title,TEXT
movies,original_language,TEXT
movies,release_date,TEXT
movies,runtime,REAL
movies,budget,REAL
movies,revenue,REAL
movies,popularity,REAL
movies,vote_average,REAL
movies,vote_count,REAL
movies,overview,TEXT
ratings,user_id,INTEGER
ratings,movie_id,INTEGER
ratings,rating,REAL
ratings,timestamp,INTEGER
reviews,review_id,INTEGER
reviews,review_text,TEXT
reviews,sentiment,TEXT
